"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
0,12,-8,-10,-2,2,-14,0,0,16,2,-16,16,0,6,-6,-6,-14,-1,62,3072,-42.9920136373094,42.4622267376053,5.24132830312283,327.126586174047,3.71303549626191,-58.2351727391252,1.19052631579052,56.9564842898344,-9,-3,2,3,-9,4,-9,6,2,-12,-7,-2,2,4,1,-7,-3,3,1.99999999999993,56.7189272753612,-181,-273,-12.0687719298244,1.09746256965183,16.76,228.08,-3.11929824561403,-8.09468998312161,1.20534332974382
2,4,-2,6,4,-2,26,-2,-10,-4,-14,-18,16,-14,-4,22,-2,-32,16,114,1668,-8.19593146792067,28.4480121915349,12.0834721201481,158.715379353947,13.2251958399063,-128.608045434791,15.0214035087733,48.6823945014894,2,-1,0,0,1,5,7,-1,0,1,3,-3,-1,-5,-2,-4,11,-2,38.9999999999999,-108.980918130458,-17.9999999999998,113.999999999999,-10.8410526315787,-0.231288939885686,-11.68,-813.44,10.6736842105263,0.893088163958396,0.0686470062068736
-6,8,-2,-12,-10,-6,0,8,-22,22,-20,10,-8,4,16,-14,22,-2,38,79,3788,-46.4478845898739,40.664911014268,-8.89170340915052,174.055738225048,14.5938739316816,86.9636409492572,3.50842105263246,126.15648813702,-4,3,12,3,7,5,-3,1,-10,-2,5,2,5,4,0,-5,5,-2,-38,-165.659618231863,-129,-87.0000000000005,14.3066666666667,-1.49512524042065,7.56000000000005,-156.52,-1.73333333333332,-25.2115805670644,-0.0052407461923174
0,10,-2,10,20,-14,14,-8,-16,10,-6,14,16,12,-6,14,10,-30,10,58.0000000000009,2128,74.4381765630878,-29.7831011772678,61.4701716036843,229.975102298515,-18.6313219082244,7.23517273912526,10.8996491228081,191.412227433433,9,0,1,4,13,-3,-2,-12,5,5,-2,-10,-3,1,2,-3,-5,-3,14.9999999999998,16.3919545652088,147,290,-0.0157894736840944,2.81167653651463,-4.8,403.599999999999,6.10526315789477,14.211723852584,0.698238755107152
-4,10,12,14,-8,10,2,2,26,-8,-14,28,-4,16,4,-14,10,10,36,5.99999999999909,940,-68.4758531522784,47.0186883405067,-61.4970289940738,30.9399363404082,-11.3774296179449,18.9636409492575,2.11157894736971,32.8993366812811,-3,-13,-1,6,10,-6,-7,12,0,6,4,3,3,-1,-3,0,2,11,12.9999999999999,13.6730272898476,-80.0000000000001,-456,-11.9470175438596,-2.71190642730128,2.44000000000005,-394.48,8.2245614035088,25.5668968146134,0.740326422248895
-4,-10,-12,-10,12,14,-2,0,-4,-10,-14,24,2,26,6,-26,-2,10,-20,-69.0000000000009,-3008,-25.1653791019653,-37.1697813900846,-22.8398034396564,-117.67937619616,2.22957160299143,64.2944817826244,-12.0371929824546,-146.689745536678,0,-2,-2,-4,5,4,-5,-2,-2,-2,-4,-8,-5,-1,-4,0,-6,4,-8.00000000000006,-18.875709101445,-1.99999999999991,68,-9.72491228070163,0.65811592204269,-19.04,-301.320000000001,1.47719298245616,6.52817521350562,0.232986638529297
0,-4,-20,-4,-2,-14,-2,-4,2,8,18,-10,0,10,-6,28,-24,2,21,-49,1088,41.3144951247377,2.32534823409878,17.7699877537707,49.2109728106952,-2.94698286233688,100.650077297091,-2.85684210526142,-20.5342790457635,1,-7,5,-18,6,-1,5,1,2,-9,-9,-1,-5,4,-4,3,4,-4,-29.0000000000001,138.575554507263,-166,-330,-8.50280701754377,2.01493224775806,-12.52,-75.1599999999999,4.72982456140352,-8.04476792299124,1.13211365368009
0,2,-20,-2,2,-12,-12,14,-8,10,-4,14,26,-12,4,12,-12,8,13,23,2352,-20.175433082115,-3.78310117726778,-23.7275216338371,-84.7717823378116,-4.63132190822444,-61.7418772681181,-15.7035087719282,-91.9164151801542,-8,-4,9,-3,3,-1,3,-10,-7,2,-9,-8,-8,-4,1,-2,5,-6,34.9999999999999,123.581227318819,139,391,0.296491228070295,0.168012296976998,7.8,195.400000000001,-11.0877192982456,-10.710019857049,0.455919215763444
-2,8,-12,-34,-2,-24,12,2,-20,-12,-20,-16,-22,-16,-6,10,-16,-12,-77,-113.000000000002,-7672,121.805588937292,-75.0044737944372,42.8397535590689,-391.150440198158,-2.134730725699,-3.01521374632816,-25.117192982455,-226.248541591634,3,1,0,-9,-1,0,-1,-7,-10,2,11,1,5,3,-3,6,3,-3,-23,-33.2676636666538,-76.0000000000001,13,-7.70912280701748,-4.55377334784012,-2.23999999999992,-443.919999999999,-2.62807017543858,-1.64521947323976,-0.0501331116163222
-8,-4,-12,-16,-2,-10,30,-22,8,0,16,8,-16,10,-8,-4,4,-4,49,9.00000000000091,3892,-64.2182890517979,2.41958309939491,54.6431280569805,457.303390749992,4.24951652719528,76.8947909709871,20.217543859651,72.4016193122989,-5,-6,0,11,0,-8,-1,-9,-4,4,3,-10,5,2,13,1,-6,-10,35.9999999999999,14.9406909565005,54,201,0.762105263157991,0.171353700284742,1.67999999999996,-924.56,6.85263157894738,25.2467501285174,0.120245372499138
