"ccode1","ccode2","eligible","origin","label","probability"
"2","200",TRUE,1,1,0.998
"20","200",TRUE,0,0,0
"31","200",TRUE,0,0,0.002
"41","200",TRUE,0,0,0.003
"42","200",TRUE,0,0,0.004
"51","200",TRUE,0,0,0.002
"52","200",TRUE,0,0,0.002
"53","200",TRUE,0,0,0.003
"70","200",TRUE,0,0,0.001
"80","200",TRUE,0,0,0
"90","200",TRUE,0,0,0
"91","200",TRUE,0,0,0
"92","200",TRUE,0,0,0.001
"93","200",TRUE,0,0,0
"94","200",TRUE,0,0,0.006
"95","200",TRUE,0,0,0.002
"100","200",TRUE,0,0,0.001
"101","200",TRUE,0,0,0
"115","200",TRUE,0,0,0.001
"130","200",TRUE,0,0,0
"135","200",TRUE,0,0,0
"140","200",TRUE,0,0,0.001
"145","200",TRUE,0,0,0
"150","200",TRUE,0,0,0.001
"155","200",TRUE,0,0,0
"160","200",TRUE,1,1,0.988
"165","200",TRUE,0,0,0.001
"2","205",TRUE,0,0,0.002
"20","205",TRUE,0,0,0
"31","205",TRUE,0,0,0
"41","205",TRUE,0,0,0
"42","205",TRUE,0,0,0
"51","205",TRUE,0,0,0.001
"52","205",TRUE,0,0,0
"53","205",TRUE,0,0,0
"70","205",TRUE,0,0,0
"80","205",TRUE,0,0,0
"90","205",TRUE,0,0,0
"91","205",TRUE,0,0,0
"92","205",TRUE,0,0,0
"93","205",TRUE,0,0,0
"94","205",TRUE,0,0,0
"95","205",TRUE,0,0,0
"100","205",TRUE,0,0,0
"101","205",TRUE,0,0,0
"115","205",TRUE,0,0,0.001
"130","205",TRUE,0,0,0
"135","205",TRUE,0,0,0
"140","205",TRUE,0,0,0.001
"145","205",TRUE,0,0,0
"150","205",TRUE,0,0,0
"155","205",TRUE,0,0,0
"160","205",TRUE,0,0,0
"165","205",TRUE,0,0,0
"200","205",TRUE,0,0,0.043
"2","210",TRUE,0,0,0.001
"20","210",TRUE,0,0,0
"31","210",TRUE,0,0,0
"41","210",TRUE,0,0,0
"42","210",TRUE,0,0,0
"51","210",TRUE,0,0,0
"52","210",TRUE,0,0,0
"53","210",TRUE,0,0,0
"70","210",TRUE,0,0,0
"80","210",TRUE,0,0,0
"90","210",TRUE,0,0,0
"91","210",TRUE,0,0,0.001
"92","210",TRUE,0,0,0
"93","210",TRUE,0,0,0
"94","210",TRUE,0,0,0
"95","210",TRUE,0,0,0
"100","210",TRUE,0,0,0
"101","210",TRUE,0,0,0
"115","210",TRUE,0,0,0
"130","210",TRUE,0,0,0
"135","210",TRUE,0,0,0
"140","210",TRUE,0,0,0
"145","210",TRUE,0,0,0
"150","210",TRUE,0,0,0
"155","210",TRUE,0,0,0
"160","210",TRUE,0,0,0
"165","210",TRUE,0,0,0
"200","210",TRUE,0,0,0.006
"205","210",TRUE,0,0,0.008
"2","211",TRUE,0,0,0.002
"20","211",TRUE,1,1,0.909
"31","211",TRUE,0,0,0
"41","211",TRUE,0,0,0
"42","211",TRUE,0,0,0.001
"51","211",TRUE,0,0,0
"52","211",TRUE,0,0,0
"53","211",TRUE,0,0,0.001
"70","211",TRUE,0,0,0
"80","211",TRUE,0,0,0.001
"90","211",TRUE,0,0,0
"91","211",TRUE,0,0,0
"92","211",TRUE,0,0,0
"93","211",TRUE,0,0,0
"94","211",TRUE,0,0,0.002
"95","211",TRUE,0,0,0.002
"100","211",TRUE,0,0,0
"101","211",TRUE,0,0,0
"115","211",TRUE,0,0,0
"130","211",TRUE,0,0,0
"135","211",TRUE,0,0,0
"140","211",TRUE,0,0,0
"145","211",TRUE,0,0,0
"150","211",TRUE,0,0,0.001
"155","211",TRUE,0,0,0
"160","211",TRUE,1,1,0.937
"165","211",TRUE,0,0,0
"200","211",TRUE,0,0,0.009
"205","211",TRUE,0,0,0.008
"210","211",TRUE,0,0,0.001
"2","212",TRUE,0,0,0
"20","212",TRUE,0,0,0
"31","212",TRUE,0,0,0
"41","212",TRUE,0,0,0
"42","212",TRUE,0,0,0
"51","212",TRUE,0,0,0
"52","212",TRUE,0,0,0
"53","212",TRUE,0,0,0
"70","212",TRUE,0,0,0
"80","212",TRUE,0,0,0
"90","212",TRUE,0,0,0
"91","212",TRUE,0,0,0
"92","212",TRUE,0,0,0
"93","212",TRUE,0,0,0
"94","212",TRUE,0,0,0
"95","212",TRUE,0,0,0
"100","212",TRUE,0,0,0
"101","212",TRUE,0,0,0
"115","212",TRUE,0,0,0
"130","212",TRUE,0,0,0
"135","212",TRUE,0,0,0
"140","212",TRUE,0,0,0
"145","212",TRUE,0,0,0
"150","212",TRUE,0,0,0
"155","212",TRUE,0,0,0
"160","212",TRUE,0,0,0
"165","212",TRUE,0,0,0
"200","212",TRUE,0,0,0.001
"205","212",TRUE,0,0,0
"210","212",TRUE,0,0,0
"211","212",TRUE,0,0,0.001
"2","220",TRUE,0,0,0.003
"20","220",TRUE,0,0,0
"31","220",TRUE,0,0,0.001
"41","220",TRUE,0,0,0
"42","220",TRUE,0,0,0.001
"51","220",TRUE,0,0,0.002
"52","220",TRUE,0,0,0.001
"53","220",TRUE,0,0,0.002
"70","220",TRUE,0,0,0
"80","220",TRUE,0,0,0.001
"90","220",TRUE,0,0,0.001
"91","220",TRUE,0,0,0.003
"92","220",TRUE,0,0,0
"93","220",TRUE,0,0,0
"94","220",TRUE,0,0,0.003
"95","220",TRUE,0,0,0.005
"100","220",TRUE,1,1,0.838
"101","220",TRUE,0,0,0
"115","220",TRUE,0,0,0
"130","220",TRUE,0,0,0
"135","220",TRUE,0,0,0.001
"140","220",TRUE,0,0,0.002
"145","220",TRUE,0,0,0.001
"150","220",TRUE,0,0,0.002
"155","220",TRUE,0,0,0.002
"160","220",TRUE,1,1,0.995
"165","220",TRUE,0,0,0.002
"200","220",TRUE,0,0,0.095
"205","220",TRUE,0,0,0.024
"210","220",TRUE,0,0,0.005
"211","220",TRUE,0,0,0.01
"212","220",TRUE,0,0,0.001
"2","225",TRUE,1,1,0.999
"20","225",TRUE,0,0,0
