"ccode1","ccode2","eligible","origin","label","probability"
"20","91",TRUE,0,0,0.001
"31","91",TRUE,0,0,0.001
"41","91",TRUE,0,0,0.004
"42","91",TRUE,0,0,0.002
"51","91",TRUE,0,0,0.003
"52","91",TRUE,0,0,0
"53","91",TRUE,0,0,0.002
"70","91",TRUE,0,0,0.012
"80","91",TRUE,0,0,0.009
"90","91",TRUE,0,0,0.055
"2","92",TRUE,0,0,0.053
"20","92",TRUE,0,0,0.002
"31","92",TRUE,0,0,0
"41","92",TRUE,0,0,0.001
"42","92",TRUE,0,0,0.002
"51","92",TRUE,0,0,0.003
"52","92",TRUE,0,0,0.001
"53","92",TRUE,0,0,0.002
"70","92",TRUE,0,0,0.011
"80","92",TRUE,0,0,0.005
"90","92",TRUE,0,0,0.057
"91","92",TRUE,0,0,0.043
"2","93",TRUE,0,0,0.078
"20","93",TRUE,0,0,0.002
"31","93",TRUE,0,0,0.001
"41","93",TRUE,0,0,0.003
"42","93",TRUE,0,0,0.002
"51","93",TRUE,0,0,0.003
"52","93",TRUE,0,0,0
"53","93",TRUE,0,0,0.001
"70","93",TRUE,0,0,0.012
"80","93",TRUE,0,0,0.003
"90","93",TRUE,0,0,0.031
"91","93",TRUE,0,0,0.044
"92","93",TRUE,0,0,0.011
"2","94",TRUE,0,0,0.054
"20","94",TRUE,0,0,0.004
"31","94",TRUE,0,0,0.002
"41","94",TRUE,0,0,0
"42","94",TRUE,0,0,0.002
"51","94",TRUE,0,0,0
"52","94",TRUE,0,0,0.004
"53","94",TRUE,0,0,0.002
"70","94",TRUE,0,0,0.028
"80","94",TRUE,0,0,0.005
"90","94",TRUE,0,0,0.014
"91","94",TRUE,0,0,0.001
"92","94",TRUE,0,0,0.004
"93","94",TRUE,0,0,0.005
"2","95",TRUE,0,0,0.048
"20","95",TRUE,0,0,0.003
"31","95",TRUE,0,0,0.001
"41","95",TRUE,0,0,0
"42","95",TRUE,0,0,0.004
"51","95",TRUE,0,0,0.005
"52","95",TRUE,0,0,0.004
"53","95",TRUE,0,0,0
"70","95",TRUE,0,0,0.025
"80","95",TRUE,0,0,0
"90","95",TRUE,0,0,0.004
"91","95",TRUE,0,0,0.006
"92","95",TRUE,0,0,0.002
"93","95",TRUE,0,0,0.008
"94","95",TRUE,0,0,0.006
"2","100",TRUE,0,0,0.044
"20","100",TRUE,0,0,0
"31","100",TRUE,0,0,0.01
"41","100",TRUE,0,0,0.018
"42","100",TRUE,0,0,0.028
"51","100",TRUE,0,0,0.024
"52","100",TRUE,0,0,0.016
"53","100",TRUE,0,0,0.025
"70","100",TRUE,0,0,0.02
"80","100",TRUE,0,0,0.017
"90","100",TRUE,0,0,0.032
"91","100",TRUE,0,0,0.003
"92","100",TRUE,0,0,0.002
"93","100",TRUE,0,0,0.004
"94","100",TRUE,0,0,0.033
"95","100",TRUE,0,0,0.047
"2","101",TRUE,0,0,0.036
"20","101",TRUE,0,0,0
"31","101",TRUE,0,0,0.002
"41","101",TRUE,0,0,0.003
"42","101",TRUE,0,0,0.002
"51","101",TRUE,0,0,0.003
"52","101",TRUE,0,0,0.008
"53","101",TRUE,0,0,0.003
"70","101",TRUE,0,0,0.001
"80","101",TRUE,0,0,0
"90","101",TRUE,0,0,0.002
"91","101",TRUE,0,0,0.011
"92","101",TRUE,0,0,0.003
"93","101",TRUE,0,0,0.002
"94","101",TRUE,0,0,0.002
"95","101",TRUE,0,0,0.002
"100","101",TRUE,0,0,0.006
"2","115",TRUE,0,0,0.034
"20","115",TRUE,0,0,0.001
"31","115",TRUE,0,0,0
"41","115",TRUE,0,0,0
"42","115",TRUE,0,0,0.002
"51","115",TRUE,0,0,0.001
"52","115",TRUE,0,0,0.005
"53","115",TRUE,0,0,0
"70","115",TRUE,0,0,0.008
"80","115",TRUE,0,0,0
"90","115",TRUE,0,0,0.004
"91","115",TRUE,0,0,0.001
"92","115",TRUE,0,0,0.001
"93","115",TRUE,0,0,0.001
"94","115",TRUE,0,0,0.001
"95","115",TRUE,0,0,0
"100","115",TRUE,0,0,0.023
"101","115",TRUE,0,0,0.004
"2","130",TRUE,0,0,0.042
"20","130",TRUE,0,0,0
"31","130",TRUE,0,0,0.002
"41","130",TRUE,0,0,0.004
"42","130",TRUE,0,0,0.01
"51","130",TRUE,0,0,0.005
"52","130",TRUE,0,0,0.004
"53","130",TRUE,0,0,0.003
"70","130",TRUE,0,0,0.026
"80","130",TRUE,0,0,0.002
"90","130",TRUE,0,0,0.003
"91","130",TRUE,0,0,0.002
"92","130",TRUE,0,0,0.005
"93","130",TRUE,0,0,0
"94","130",TRUE,0,0,0.006
"95","130",TRUE,0,0,0.007
"100","130",TRUE,0,0,0.053
"101","130",TRUE,0,0,0.004
"115","130",TRUE,0,0,0.001
"2","135",TRUE,0,0,0.056
"20","135",TRUE,0,0,0
"31","135",TRUE,0,0,0.005
"41","135",TRUE,0,0,0.006
"42","135",TRUE,0,0,0.004
"51","135",TRUE,0,0,0.001
"52","135",TRUE,0,0,0.008
"53","135",TRUE,0,0,0.005
"70","135",TRUE,0,0,0.007
"80","135",TRUE,0,0,0.001
"90","135",TRUE,0,0,0.037
"91","135",TRUE,0,0,0.021
"92","135",TRUE,0,0,0.006
"93","135",TRUE,0,0,0.013
"94","135",TRUE,0,0,0.007
"95","135",TRUE,0,0,0.011
"100","135",TRUE,0,0,0.024
"101","135",TRUE,0,0,0.024
"115","135",TRUE,0,0,0.008
"130","135",TRUE,0,0,0.018
"2","140",TRUE,1,1,1
"20","140",TRUE,0,0,0
"31","140",TRUE,0,0,0.035
"41","140",TRUE,0,0,0.039
"42","140",TRUE,0,0,0.038
"51","140",TRUE,0,0,0.039
"52","140",TRUE,0,0,0.049
"53","140",TRUE,0,0,0.041
"70","140",TRUE,0,0,0.028
"80","140",TRUE,0,0,0.022
"90","140",TRUE,1,1,0.882
"91","140",TRUE,0,1,0.073
"92","140",TRUE,0,1,0.009
"93","140",TRUE,0,0,0.009
"94","140",TRUE,0,0,0.048
"95","140",TRUE,0,0,0.04
"100","140",TRUE,1,1,0.968
"101","140",TRUE,0,0,0.041
"115","140",TRUE,0,0,0.058
"130","140",TRUE,0,1,0.039
"135","140",TRUE,1,1,0.962
