"checkpoint","simulation","countries","mean_spending_category","density","clustering","centralization","ties"
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",8,159,3.0062893081761,0.216622880343922,0.224254728069238,0.365353762846784,2721
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",9,159,2.9559748427673,0.207786004299021,0.221069378155911,0.416569770374398,2610
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",10,159,2.94339622641509,0.206512220364621,0.212974813597135,0.406148843003844,2594
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",1,159,3.08176100628931,0.242894673990924,0.250164351515876,0.358541151100227,3051
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",2,159,3.15094339622642,0.248387867208025,0.259055086287031,0.445072248694294,3120
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",3,159,3.27672955974843,0.247193694769525,0.253962137299433,0.377954232638391,3105
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",4,159,3.15094339622642,0.250218931613725,0.252846501836064,0.357399541525899,3143
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",5,159,3.25157232704403,0.242815062495024,0.248611016429204,0.389567982678142,3050
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",6,159,3.13207547169811,0.244805349892524,0.250613008417806,0.336475736536057,3075
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",7,159,3.27672955974843,0.241143221081124,0.24696889597615,0.35532435716388,3029
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",8,159,3.23899371069182,0.239073322187724,0.244001057082452,0.390532943110607,3003
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",9,159,3.26415094339623,0.238914099195924,0.246870915964249,0.382446748660932,3001
"call-0006-e906da3b352dac04d7ec82deddf6ae72.rds",10,159,3.11320754716981,0.252766499482525,0.25741640333915,0.35586847135984,3175
