"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
2,10,0,-18,18,10,-2,10,10,10,-16,0,-16,-8,8,-44,-12,-2,2,5,420,-33.3476428594749,59.0471174326476,-45.0616651794617,20.6747945956886,3.59824969476654,18.2810727246388,-28.550175438595,58.4999432339937,-3,1,7,-7,-3,-5,-4,-1,-3,0,2,3,-10,2,-4,-2,6,7,23.9999999999999,82.627127304333,-108,-602,-13.8252631578946,2.5383952897906,-2.88000000000003,-560.040000000001,3.56842105263161,9.71209333685954,0.309555137128072
0,-2,10,14,-4,-2,6,4,4,-4,-20,-18,-14,2,6,22,-10,20,-9,99.9999999999991,-916,5.09115682378251,-36.7075546524793,8.81718338329893,90.0083313834475,-40.0573929007476,62.1472408913124,-50.2592982456131,34.2776440533235,-12,1,8,4,0,0,-8,-16,4,0,-3,-8,0,-2,-2,1,-5,2,17.9999999999999,24.4703454782502,-13.0000000000001,-219,-11.618947368421,-0.195916649713539,-0.160000000000011,-406.28,-1.07368421052631,-13.9537324521264,-0.546736340573581
0,14,0,28,4,6,18,-24,6,2,-24,-8,26,0,-24,-2,-16,-26,14,-149,-3176,-34.74992361763,21.1555668440142,-41.9353445189531,-149.480570032385,1.28258874065364,-17.3040227173952,21.1589473684221,-65.7380762251432,3,-4,5,2,-3,6,7,7,-4,-1,-2,-6,0,5,11,0,-5,5,19.9999999999998,1.18927275361148,11.9999999999999,231,9.31228070175445,2.84692860135237,1.60000000000009,-210.2,-10.1929824561403,2.85928232358344,0.914606875530367
20,2,4,-6,4,-4,0,-10,-16,-8,-22,8,-20,-6,-4,-6,8,-4,-52,-275.000000000001,-7928,109.624153285269,-93.1413522979437,-37.6737633305679,-476.978728486036,-8.79474908429734,57.5105726522074,-32.7677192982442,-81.2465680328714,7,5,3,-6,-2,6,-2,2,-1,11,-4,2,-1,-3,7,8,-3,3,-20,-101.189272753611,151,166,7.68771929824567,-4.01093291043236,-9.59999999999997,629.2,-0.807017543859644,1.10265990528364,-1.53962014335995
-4,0,0,-8,12,-14,-6,12,8,-20,-8,-10,2,10,-8,-8,-4,-24,-59,-35.0000000000009,-1784,116.660793682273,-81.3724656667473,6.54572772141,-368.990233166573,3.34873316757194,40.2524499203251,-19.3550877192965,-101.390003945067,-4,-9,8,0,-1,7,-3,-4,-2,2,-11,-9,7,-5,6,4,2,-4,-4.00000000000009,-189.437854550722,-157,-386,1.13754385964916,-1.95236708679183,-14.52,-20.1599999999999,-3.76140350877192,26.8321632123514,0.115014534505057
6,-6,18,-6,16,0,2,-6,-10,30,-12,8,32,-18,-6,8,0,16,-10,71.0000000000009,1156,-114.030074717733,57.2924453475216,11.9660093678294,117.490946058118,-0.0573929007468905,3.32697271015272,14.2750877192993,32.6503969082623,-2,-9,2,1,7,8,4,3,-1,5,13,1,1,-3,4,-1,-2,-1,3.99999999999993,25.4378545507225,289,661,2.86245614035096,-0.600089206484515,5.52000000000013,602.16,-5.23859649122805,26.7354003661754,0.125356513983128
-2,4,6,16,-16,-14,14,12,4,0,2,-10,-20,8,-2,-30,18,-24,35,47,3780,-40.4899414950632,39.726242992986,-40.0963608447973,-123.015328669666,10.6799632828031,-116.395822688423,7.71473684210696,68.896015233604,2,2,-2,6,0,-4,-4,4,-9,-1,0,12,-4,-1,-1,2,-2,-4,14,-32.9675090724722,274,807,11.5185964912282,-2.1305254294572,20.3199999999999,281.559999999999,-8.83508771929824,-13.9955818232936,1.06473187981335
0,-4,0,-26,12,-16,-12,-16,-14,-6,30,-14,6,8,-30,-6,-12,-10,-65,-138,-4844,87.9230294569934,-24.8960243830707,-14.2652683247752,-287.106228075427,1.54960832018878,-74.0611137318415,10.5919298245626,-165.607721263097,-5,1,-8,0,0,2,-9,7,10,-6,-8,-2,4,1,11,-7,-6,-5,13.9999999999997,111.032490927528,-67.0000000000003,-415,9.51859649122815,0.168824931442804,-0.67999999999995,-41.4399999999996,1.16491228070177,8.72610221739842,0.97699000085116
-4,0,16,-20,0,4,-20,6,4,-2,4,6,2,30,26,36,6,-10,16,-119.000000000001,-60,36.7349836814101,-29.9057651347039,-18.0016635110619,31.8941527653733,-8.80350061046738,1.23517273912492,6.48701754386093,106.145317900306,6,0,12,1,-6,4,-4,4,6,-4,15,-4,4,0,3,6,-1,-7,8.99999999999994,-115.764827260875,10.9999999999997,150,-1.8094736842105,0.651262813165061,-0.079999999999913,-585.64,-2.53684210526316,-0.34161088973417,-0.369016793781284
-2,16,-10,-16,6,6,12,-10,4,6,16,-4,14,4,-4,-2,-8,-8,8,11,908,-9.42804922640971,12.9244534752115,-56.8575048850071,-84.4666856555559,3.42607099252314,27.2581227318819,50.0371929824573,-35.2920883275056,0,5,4,7,-8,1,1,1,-10,-12,2,0,-6,0,-4,0,8,5,23.9999999999999,174.627127304334,-52.0000000000002,-162,-4.82526315789465,-2.32037129794806,0.120000000000012,-337.039999999999,-9.43157894736841,14.0365231422759,-0.125130967917372
10,-6,-4,2,-12,18,16,6,-4,-6,0,26,-6,4,4,12,10,-24,41,140.000000000001,4724,-35.4502047541864,17.2498017093103,-17.5156885169213,250.027828007631,2.47908813018626,25.940690956501,7.7677192982469,114.040065047664,-8,2,-7,-1,-9,3,1,-9,3,5,6,-4,-2,5,-7,4,-10,-1,6.99999999999994,-46.4837545362361,270,870,13.259298245614,-0.894001054576771,11.16,409.280000000001,-0.417543859649101,17.4842396379613,-0.459398786415704
-8,10,4,-4,-4,2,16,4,16,-18,6,-30,-14,-20,4,20,4,18,5,-11.0000000000009,596,0.823917285955758,-5.66043721983169,1.36750654240723,132.066031123599,5.54085679401874,115.718927275361,1.77789473684334,87.4315660857974,-3,-10,1,-9,-12,8,-2,1,4,-4,-3,0,0,6,1,0,3,1,15.9999999999999,-108.248581797112,-43.0000000000003,-289,-0.550175438596455,1.22299232689146,-5.92,10.6400000000003,-9.95438596491228,-4.70736626702762,0.28171044674087
